Column1,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
73,Mike Gesicki,MIA,TE,0,0,0,73,780,2,0,1,0,0,0,0
74,Nick Ralston,DAL,,0,0,0,0,0,0,0,0,0,0,0,0
75,Elijah Mitchell,SFO,RB,207,963,5,19,137,1,0,0,0,0,0,0
76,Tory Carter,TEN,,0,0,0,0,0,0,0,0,0,0,0,0
77,Ryan Tannehill,TEN,QB,55,270,7,0,0,0,4,531,357,3734,21,14
78,Carson Wentz,IND,QB,57,215,1,0,0,0,5,516,322,3563,27,7
79,Derek Carr,LVR,QB,40,108,0,0,0,0,5,626,428,4804,23,14
80,Russell Wilson,SEA,QB,43,183,2,0,0,0,1,400,259,3113,25,6
81,Lamar Jackson,BAL,QB,133,767,2,0,0,0,3,382,246,2882,16,13
82,Jimmy Garoppolo,SFO,QB,38,51,3,0,0,0,3,441,301,3810,20,12
83,Mac Jones,NWE,QB,44,129,0,0,0,0,3,521,352,3801,22,13
84,Matt Ryan,ATL,QB,40,82,1,0,0,0,4,560,375,3968,20,12
85,Taylor Heinicke,WAS,QB,60,313,1,1,-2,0,2,494,321,3419,20,15
86,Ben Roethlisberger,PIT,QB,20,5,1,0,0,0,5,605,390,3740,22,10
87,Teddy Bridgewater,DEN,QB,30,106,2,0,0,0,1,426,285,3052,18,7
88,Trevor Lawrence,JAX,QB,73,334,2,0,0,0,5,602,359,3641,12,17
89,Jared Goff,DET,QB,17,87,0,0,0,0,6,494,332,3245,19,8
90,Baker Mayfield,CLE,QB,37,134,1,0,11,0,3,418,253,3010,17,13
91,Tua Tagovailoa,MIA,QB,42,128,3,0,0,0,1,388,263,2653,16,10
92,Daniel Jones,NYG,QB,62,298,2,1,16,0,3,361,232,2428,10,7
93,Sam Darnold,CAR,QB,48,222,5,0,0,0,4,406,243,2527,9,13
94,Davis Mills,HOU,QB,18,44,0,0,0,0,1,394,263,2664,16,10
95,Zach Wilson,NYJ,QB,29,185,4,0,0,0,1,383,213,2334,9,11
96,James Robinson,JAX,RB,164,767,8,31,222,0,2,0,0,0,0,0
97,Darrell Henderson,LAR,RB,149,688,5,29,176,3,0,0,0,0,0,0
98,Justin Fields,CHI,QB,72,420,2,0,0,0,5,270,159,1870,7,10
99,Myles Gaskin,MIA,RB,173,612,3,49,234,4,1,0,0,0,0,0
100,Sony Michel,LAR,RB,208,845,4,21,128,1,1,0,0,0,0,0
101,Tony Pollard,DAL,RB,130,719,2,39,337,0,0,0,0,0,0,0
102,DeVonta Smith,PHI,WR,0,0,0,64,916,5,1,0,0,0,0,0
